date,ticker,type,price,shares,amount,commission,reason
2023-03-30,6758,SELL,2321.7076391601563,800,1856344.5599668946,1021.5513612304688,Window filled (reached pre-ex price 2289)
2023-03-30,9432,BUY,149.6595615234375,6600,988303.1060546875,550.0,Add position on ex-dividend drop (0.3%)
2023-03-30,8306,BUY,777.7870272216796,1200,933894.4326660156,550.0,Add position on ex-dividend drop (0.1%)
2023-03-30,9433,BUY,1923.0460568847657,500,962073.0284423828,550.0,Add position on ex-dividend drop (0.5%)
2023-03-30,9984,BUY,5037.9821220703125,100,504348.21220703126,550.0,Add position on ex-dividend drop (1.6%)
2023-03-30,6098,BUY,3594.3750849609373,200,719425.0169921875,550.0,Add position on ex-dividend drop (1.8%)
2023-03-31,8306,SELL,791.3939346313476,3600,2847918.1646728516,1100.0,Window filled (reached pre-ex price 777)
2023-03-31,9984,SELL,5099.220988769531,300,1528924.9251677122,841.3714631469726,Window filled (reached pre-ex price 5111)
2023-03-31,7974,SELL,4901.449677734375,400,1959501.5521646484,1078.3189291015626,Window filled (reached pre-ex price 4854)
2023-04-03,9433,SELL,1929.4596413574218,1500,2893089.462036133,1100.0,Window filled (reached pre-ex price 1928)
2023-04-03,6098,SELL,3699.955376953125,600,2218873.226171875,1100.0,Window filled (reached pre-ex price 3654)
2023-04-04,9432,SELL,149.5120069885254,19800,2959237.7383728027,1100.0,Window filled (reached pre-ex price 150)
2023-09-27,7203,BUY,2613.057659912109,300,784467.2979736327,550.0,Entry 3 days before record date
2023-09-27,6758,BUY,2478.9294177246093,400,992121.7670898438,550.0,Entry 3 days before record date
2023-09-27,9432,BUY,172.91072845458982,5800,1003433.8102603911,551.5852237701416,Entry 3 days before record date
2023-09-27,8306,BUY,1237.815021972656,800,990802.0175781249,550.0,Entry 3 days before record date
2023-09-27,9433,BUY,2223.468526611328,400,889937.4106445311,550.0,Entry 3 days before record date
2023-09-27,4063,BUY,4320.693251953125,200,864688.6503906249,550.0,Entry 3 days before record date
